word,definition,category
diaphoretic,"The word ""diaphoretic"" is an adjective that refers to something that induces sweating. In a medical context, it is often used to describe substances or medications that promote perspiration as a means of helping to cool the body or eliminate toxins. As a noun, ""diaphoretic"" can also refer to a drug or treatment that has this sweating-inducing effect.",time
dial,"The word ""dial"" has several meanings in English:

1. **Noun**: A dial is a flat, circular surface that displays numbers and markings used to indicate the value of a measurement, especially on devices like clocks, gauges, or measuring instruments. For example, a clock face is often referred to as a dial.

2. **Noun**: In telecommunications, a dial can refer to a mechanism or part of a device used for selecting a phone number, often found on older rotary phones.

3. **Verb**: To dial means to enter a phone number on a telephone or similar device to initiate a call. It can also refer to adjusting a setting on a device by turning a dial.

Overall, the term can pertain to both physical instruments and actions related to communication.",time
diaereses,"The term ""diaereses"" refers to a diacritical mark (¨) placed over a vowel to indicate that it should be pronounced separately from the preceding vowel. This mark is often used in words borrowed from other languages to clarify pronunciation. It is commonly found in languages such as French and German. In English, it might appear in words like ""naïve"" or ""coöperate"" to indicate that the vowels are pronounced distinctly rather than as a diphthong. The plural of ""diaeresis"" is ""diaereses.""",time
diatribe,"A ""diatribe"" is a noun that refers to a bitter and prolonged verbal attack or criticism against someone or something. It often involves harsh language and expresses strong disapproval or condemnation. Diatribes are typically made in a public context, such as in speeches, articles, or essays.",sandstorm
diaeresis,"The word ""diaeresis"" has two primary meanings:

1. **Linguistics**: It refers to the separation of two adjacent vowels so that each vowel is pronounced separately. In writing, this is often indicated by a diacritical mark called a diaeresis (¨), placed over the second vowel (e.g., in the word ""naïve"").

2. **Grammar**: It denotes the occurrence of a diaeresis as a phenomenon in poetry where vowels are pronounced in separate syllables, rather than blending into a single syllable.

In a broader sense, the term can also refer to a kind of division or separation. In musical contexts, it may relate to a type of rhythmic separation in notation.

The word derives from the Greek ""diairesis,"" meaning ""division.""",sword
dibble,"The word ""dibble"" can function as both a noun and a verb. 

As a noun, a ""dibble"" refers to a pointed tool used for making holes in the soil for planting seeds or seedlings. 

As a verb, ""dibble"" means to make holes in the ground, typically for planting purposes, using such a tool.

The word is often associated with gardening and agricultural practices.",twig
diehard,"The word ""diehard"" is an adjective used to describe a person who is extremely loyal or resistant to change, particularly in their beliefs, opinions, or practices. It can also refer to something that is longstanding or enduring. As a noun, a ""diehard"" is someone who holds steadfastly to a particular belief or practice, often in the face of opposition or contrary evidence. The term originated in the 19th century and is commonly used in contexts such as politics, sports fandom, and long-standing habits.",pebble
dictum,"The word ""dictum"" is a noun that refers to an authoritative or formal statement, remark, or pronouncement. It is often used in legal contexts to describe a statement made by a judge in a legal opinion that is not essential to the decision and can be considered as a commentary. The plural form of dictum is "" dicta.""",logic
dictate,"The word 'dictate' can function as both a verb and a noun. 

As a verb, 'dictate' means:

1. To say or read aloud something to be recorded or transcribed: For example, a person might dictate a letter to a secretary.
2. To prescribe or lay down the terms or rules of something: For example, a situation might dictate the actions one should take.

As a noun, 'dictate' refers to:

1. An order or principle that must be followed: For example, the dictates of conscience.

Overall, it carries the connotation of authority and control over the actions or thoughts of others.",logic
dicta,"The term ""dicta"" is the plural form of "" dictum,"" which refers to statements, remarks, or observations made in a legal context that are not essential to the resolution of the case at hand. Essentially, dicta are comments or opinions expressed by a judge that do not have the binding authority of a legal precedent. They may provide insight or guidance but are not legally enforceable. In a broader sense, ""dicta"" can also refer to authoritative pronouncements or maxims in other contexts.",karma
dieback,"'Dieback' is a noun that refers to a condition in which a plant or tree experiences a gradual decline in health, characterized by the death of the terminal or youngest parts of the plant, often starting from the tips of branches or roots and progressing inward. This phenomenon can be caused by various factors, including disease, environmental stress, or pest infestations. In a broader context, it can also refer to the reduction or loss of vitality in ecosystems or populations.",twig
differentiator,"A ""differentiator"" is a noun that refers to a characteristic, feature, or factor that distinguishes one thing from another. It is often used in business and marketing contexts to describe a unique attribute of a product, service, or brand that sets it apart from competitors and adds perceived value for consumers. In a broader sense, a differentiator can apply to any context where distinction or differentiation is crucial for recognition or identity.",logic
digestive,"The word ""digestive"" can function as both an adjective and a noun.

As an adjective, ""digestive"" relates to the process of digestion, which is the breakdown of food in the body to enable nutrients to be absorbed. It can describe substances, organs, or processes involved in digestion, such as ""digestive enzymes"" or ""digestive system.""

As a noun, ""digestive"" often refers to a type of biscuit or cookie that is designed to aid in digestion. These biscuits are typically made from wholemeal flour and have a slightly sweet flavor, often enjoyed with tea or coffee.

In summary:
- **Adjective**: Pertaining to the process of digestion.
- **Noun**: A type of biscuit that may aid digestion.",disease
diet,"The word ""diet"" has several related meanings:

1. **Noun**: It refers to the kinds of food that a person, animal, or community habitually eats. For example, ""A balanced diet includes a variety of foods from all food groups.""

2. **Noun**: It can also refer to a specific regimen or plan for eating and drinking, often designed for health or weight management. For example, ""She is following a low-carb diet to lose weight.""

3. **Noun**: In a broader context, it may refer to a legislative assembly or council, especially in historical or formal contexts (e.g., the Diet of Worms).

4. **Verb**: To diet means to restrict oneself to a particular diet, often for the purpose of losing weight or improving health. For example, ""He decided to diet after his annual check-up.""

In summary, ""diet"" encompasses the concept of food consumption patterns as well as specific plans for eating and health management.",vaccine
digs,"The word ""digs"" can have a few different meanings based on context:

1. **Informal/Noun**: In colloquial usage, ""digs"" refers to a place of residence or living quarters, such as an apartment or house. For example, ""She's got a nice place; I love her digs.""

2. **Informal/Noun**: ""Digs"" can also refer to a critical or sarcastic remark aimed at someone, often implying a slight or insult. For example, ""He made a few digs at my outfit.""

3. **Verb (slang)**: In a more informal sense, particularly in the context of the 1960s and 1970s, ""to dig"" means to understand or appreciate something. For example, ""I really dig that song.""

4. **Noun**: In an archaeological context, ""digs"" refers to excavations or sites where archaeologists are working.

The appropriate meaning depends on the context in which the word is used.",stone
diminutive,"The word ""diminutive"" is an adjective that describes something that is very small in size or stature. It can also refer to a word or suffix that indicates a smaller or lesser version of something. Additionally, as a noun, ""diminutive"" can refer to a word formed by such a change, often expressing affection or smallness. For example, in language, ""kitty"" can be a diminutive of ""kitten.""",star
dimmer,"The word ""dimmer"" can have multiple meanings depending on the context:

1. **As a noun**: A dimmer is a device used to adjust the brightness of a light. It allows users to control the illumination level of electric lights by varying the amount of electrical power supplied to the light fixture.

2. **As an adjective**: ""Dimmer"" is the comparative form of the adjective ""dim,"" meaning having less brightness or light compared to something else. For example, if one room is less brightly lit than another, it can be described as being the dimmer room.

If you need further clarification or a specific context, feel free to ask!",light
dig,"The word ""dig"" in English can function as both a verb and a noun. 

As a verb, ""dig"" generally means to break up and move earth or other materials with a tool or by hand. It can also refer to the act of searching for something, such as information or an object. For example:
1. To excavate or unearth (as in digging a hole).
2. To search thoroughly (as in digging for facts).

As a noun, ""dig"" can refer to the act of digging or to a place where excavation has taken place, particularly in archaeology. It can also be used informally to mean a critical remark or a snide comment about someone.

Overall, the word encompasses physical action as well as metaphorical use in regards to exploration or critique.",stone
digest,"The word ""digest"" can be used as both a noun and a verb.

As a verb, ""digest"" means:
1. To break down food in the digestive system into simpler substances that the body can absorb and use for energy and nourishment.
2. To understand or assimilate information, feelings, or ideas after careful consideration.

As a noun, ""digest"" refers to:
1. A compilation or summary of information or content, often in the form of an article or publication that presents key points or highlights.

Overall, the term involves the processes of breaking down and understanding, whether in a physical or intellectual context.",paper
dinocerata,"Dinocerata is a plural noun used to refer to an order of extinct mammals known as ""horror-beasts"" or ""terrible horns,"" which lived during the Paleocene and Eocene epochs, approximately 65 to 34 million years ago. These animals are characterized by their large size, unusual dental structures, and distinctive horn-like features on their skulls. Dinocerata includes various genera, notably *Dinohyus* and *Dinohippus*, and they were part of the early evolution of mammals following the extinction of the dinosaurs. The term derives from the Greek words ""dinos,"" meaning terrible, and ""keratos,"" meaning horn.",time
dint,"The word ""dint"" is a noun that refers to a stroke or blow, typically one that leaves a mark or indentation. It can also be used in the phrase ""by dint of,"" which means by means of or as a result of. In this context, it implies achieving something through effort or force.",antimatter
dioon,"""Dioon"" is a noun that refers to a genus of cycad plants in the family Zamiaceae. These are slow-growing, tropical plants characterized by a stout trunk, large, fern-like leaves, and cone-like reproductive structures. Dioon species are native to Mexico and Central America and are known for their longevity and distinctive appearance.",time
diner,"The word 'diner' can have a few related meanings:

1. **Noun**: A diner is a small, informal restaurant that typically serves classic American dishes, such as burgers, sandwiches, and breakfast items. Diners are often characterized by a casual atmosphere and a counter with stools.

2. **Noun**: A diner can also refer to a person who is eating a meal, especially in a restaurant or café.

3. **Noun**: In some contexts, it may refer to a train car that is designed for dining, where passengers can enjoy meals during their journey.

Overall, the most common usage refers to the type of eatery known for its casual dining experience.",gun
dip,"The word ""dip"" can function as both a verb and a noun.

As a verb, ""dip"" means:
1. To lower something briefly into a liquid, often for coating or soaking.
2. To take a small amount of food (like a chip) and put it into a sauce or dip.
3. To decrease or fall to a lower level temporarily.

As a noun, ""dip"" refers to:
1. A brief immersion in a liquid.
2. A thick sauce or mixture meant for dipping food into, such as a bean dip or cheese dip.
3. A downward slope or a slight decrease in a certain condition.

Overall, ""dip"" conveys the idea of a brief lowering, immersion, or a substance meant for dipping.",ice
dingbat,"The word ""dingbat"" is a noun that can have a couple of meanings:

1. **Informal Use**: It refers to a silly or foolish person; someone who is considered to be eccentric or scatterbrained.

2. **Typographic Use**: In typography, a dingbat refers to a decorative character or symbol used in place of text, often to add visual interest. This includes things like stars, arrows, or other graphic symbols.

The term can be used in a light-hearted or derogatory context depending on the situation.",twig
diplomatist,"A ""diplomatist"" is a noun that refers to a person who is skilled in diplomacy or the conduct of negotiations between nations. This term is often used to describe someone who is adept at managing relationships, resolving conflicts, and representing their country's interests in international affairs. It can also imply a person who is tactful and able to navigate complex social situations with sensitivity and persuasion. The word is synonymous with ""diplomat.""",sandstorm
ding,"The word ""ding"" can have several meanings depending on the context:

1. **Noun**: A small, sharp sound or noise, often associated with a bell or a similar object. For example, ""the ding of a doorbell.""

2. **Verb**: To make a sound like a bell; to produce a ringing noise. It can also refer to lightly striking something, such as a vehicle, producing a dent or mark (e.g., ""He accidentally dinged the car door"").

3. **Informally**: It can refer to a score or point in certain games or competitions.

Overall, ""ding"" often connotes a short, sharp sound or action.",moon
diphthong,"A diphthong is a complex vowel sound that begins with one vowel sound and glides into another within the same syllable. Typically, it involves the combination of two neighboring vowel sounds pronounced in a single, smooth motion. An example in English is the sound represented by the ""ou"" in ""house"" or the ""oi"" in ""coin."" Diphthongs are important in phonetics and linguistics as they demonstrate the way vowel sounds can change within speech.",supernova
disapprobation,"Disapprobation is a noun that refers to a strong feeling of disapproval or condemnation. It implies criticism or rejection of an action, behavior, or idea, often based on moral or ethical standards.",antimatter
dipper,"The word 'dipper' can refer to several things:

1. **Noun**: A dipper is a utensil or tool used for dipping, often a ladle or scoop used to serve liquids like soup or water.

2. **Noun**: In ornithology, a dipper is a type of bird, specifically belonging to the family Cinclus, known for its ability to dive and swim underwater, often found near fast-flowing streams and rivers.

3. **Noun**: In astronomy, 'Dipper' can refer to either the Big Dipper or Little Dipper, which are asterisms formed by a group of stars in the Ursa Major and Ursa Minor constellations, respectively.

4. **Noun**: In informal usage, it can also refer to a person who dips something into a liquid, such as a seller of food items that are dipped into sauces.

The specific meaning usually depends on the context in which the word is used.",thunder
disavowal,"The term ""disavowal"" refers to the act of denying any responsibility for or connection to something; it is a formal refusal to acknowledge or accept something as true or valid. In essence, it implies a rejection or renouncement of a claim, belief, or association.",rebirth
dirtiness,"""Dirtiness"" is a noun that refers to the state or quality of being dirty; it generally denotes the presence of dirt, grime, or filth on a surface or in an environment. It can also imply a lack of cleanliness or hygiene. In a broader sense, it may also refer to moral impurity or uncleanliness in a figurative context.",antimatter
disburser,"A ""disburser"" is a noun that refers to a person or entity that distributes or pays out money, typically from a fund or budget. The term is often used in financial contexts, such as in government, organizations, or project management, where funds are allocated for specific purposes or expenses.",time
disbeliever,"The word 'disbeliever' is a noun that refers to a person who does not believe in something, particularly in the context of religious faith or a particular doctrine. It describes someone who is skeptical or unconvinced about the truth of claims, beliefs, or ideas that are generally accepted by others.",supernova
discontent,"The word 'discontent' is a noun that refers to a feeling of dissatisfaction or dissatisfaction with one's circumstances or situation. It can also be used as an adjective to describe a state of being unhappy or dissatisfied. In summary, discontent signifies a sense of unrest or unhappiness due to unmet expectations or desires.",rebirth
disconnect,"The word ""disconnect"" is a verb that means to separate or detach something from a connection or link. It can refer to physically unplugging or removing a connection, such as a device from a power source or a network. Additionally, it can be used in a more abstract sense to describe a lack of communication or emotional connection between people or ideas. 

As a noun, ""disconnect"" refers to the state of being disconnected or the presence of a gap or lack of connection.",logic
discipline,"The word ""discipline"" can have several meanings:

1. **Noun**: The practice of training people to obey rules or a code of behavior, using punishment to correct disobedience. It refers to the control gained by enforcing obedience or order.

2. **Noun**: A branch of knowledge, typically one studied in higher education (e.g., ""the discipline of psychology"").

3. **Verb**: To train someone to behave in accordance with rules or to correct or punish behavior that does not conform to expected standards.

Overall, discipline encompasses both the self-control to pursue goals and the systematic approach to learning or training.",time
disciplinarian,"A ""disciplinarian"" is a noun that refers to a person who enforces strict discipline or rules, often in a systematic or authoritative manner. This term can apply to individuals in various contexts, such as parents, teachers, or military leaders, who emphasize order and adherence to standards of behavior. The character of a disciplinarian includes a focus on maintaining control and ensuring that rules are followed.",sandstorm
disadvantage,"The word ""disadvantage"" is a noun that refers to an unfavorable condition or situation that makes it more difficult to achieve a goal or to gain benefits. It can pertain to any circumstance that puts someone or something at a less favorable position compared to others. For example, ""Her lack of experience was a disadvantage in the job interview."" It can also be used as a verb, though less commonly, meaning to put someone in a less advantageous position.",logic
discount,"The word ""discount"" can function as both a noun and a verb. 

- As a noun, ""discount"" refers to a reduction in the regular price of a product or service. It indicates a decrease in the amount that must be paid or the percentage by which the price is lowered.

- As a verb, ""to discount"" means to reduce the price of something or to disregard or minimize the importance or value of something.

Overall, the term is commonly used in retail and finance to indicate a reduction in price or value.",time
disdain,"The word 'disdain' is a noun and a verb. As a noun, it refers to the feeling that someone or something is unworthy of one's consideration or respect; contempt. As a verb, it means to regard or treat with haughty contempt; to scorn or reject with a feeling of superiority. For example, one might disdain a task that they consider beneath them.",enlightenment
discussion,"The word ""discussion"" is a noun that refers to the act of talking about something with another person or a group of people. It involves exchanging ideas, opinions, or information on a particular topic, often with the aim of reaching a conclusion or understanding. Discussions can take place in various settings, such as casual conversations, formal meetings, or academic debates.",time
discontentment,"Discontentment is a noun that refers to a state of dissatisfaction or unhappiness with one's circumstances, situation, or the current state of affairs. It often implies a feeling of restlessness or a desire for change and improvement.",magma
disengagement,"'Disengagement' is a noun that refers to the process of withdrawing or detaching oneself from involvement or commitment to an activity, relationship, or situation. It can also signify a state of being free from obligation or responsibility, or the act of breaking a connection or association. In psychology, it may relate to a person's emotional or cognitive withdrawal from social interactions or responsibilities.",peace
discharge,"The word ""discharge"" can have multiple meanings depending on the context:

1. **As a verb**:
   - To release or allow to leave, such as discharging a patient from a hospital.
   - To carry out or perform a duty or responsibility, such as discharging one's obligations.
   - To emit or release matter or energy, such as a battery discharging electricity.

2. **As a noun**:
   - The act of releasing or letting go of something, such as the discharge of a patient or a legal discharge from duty.
   - The flow, emission, or release of a substance, such as the discharge of waste into a river.
   - In a legal context, it may refer to the release from a debt or obligation.

Overall, ""discharge"" generally involves the concept of release or removal from a state of obligation, confinement, or containment.",water
dishrag,"The word ""dishrag"" is a noun that refers to a piece of cloth used for drying dishes and utensils after washing them. It can also be used for wiping surfaces in the kitchen. Dishrags are typically made from absorbent materials like cotton or terrycloth.",twig
disguise,"The word 'disguise' as a noun refers to a means of altering one's appearance or concealing one's identity, often used to deceive or mislead others. As a verb, 'disguise' means to change or conceal the appearance, character, or nature of something or someone, typically to hide the truth or to avoid recognition.",shadow
discredit,"The word ""discredit"" is a verb that means to harm the reputation of someone or something, making them seem untrustworthy or less credible. It can also refer to the act of rejecting or showing that something is not worthy of belief or trust. 

As a noun, ""discredit"" refers to the loss of credibility or respect.

For example:
- As a verb: ""The scandal discredited the politician and led to his resignation.""
- As a noun: ""The allegations against the company resulted in significant discredit.""",shield
disgust,"The word ""disgust"" is a noun and a verb in English. 

As a noun, ""disgust"" refers to a strong feeling of revulsion or profound disapproval aroused by something unpleasant or offensive. 

As a verb, it means to provoke a strong feeling of revulsion or disapproval in someone. 

For example:
- Noun usage: ""The sight of the spoiled food filled her with disgust.""
- Verb usage: ""His rude comments disgusted her.""",echo
dishonor,"The word ""dishonor"" is a verb and a noun. 

As a verb, it means to bring shame or disgrace upon someone or something, or to act in a way that is disrespectful or dishonorable. 

As a noun, it refers to a state of disgrace or loss of honor, reputation, or respect.

In essence, dishonor involves actions or circumstances that detract from an individual's or entity's integrity or esteem.",rebirth
dishwasher,"A ""dishwasher"" is a noun that refers to a machine used for washing dishes, pots, pans, and utensils automatically. It typically functions by spraying hot water and detergent onto the dishes, rinsing them, and then drying them, thereby saving time and effort compared to washing by hand. The term can also refer to a person who washes dishes as part of their job, especially in a restaurant or similar setting.",water
dishwashing,"""Dishwashing"" is a noun that refers to the process of cleaning dishes, utensils, and other cookware after they have been used for preparing or eating food. This can be done by hand using soap and water or by using a mechanical dishwasher. It encompasses the removal of food residue, grease, and stains to ensure the items are sanitary and ready for future use.",laser
disfavor,"The word 'disfavor' refers to a lack of approval or support; it denotes a state of being regarded unfavorably or negatively. It can be used as a noun to describe the condition of being disfavored or the act of expressing disapproval. As a verb, it means to treat someone or something with disfavor or to withhold favor or support.",magma
disesteem,"The word ""disesteem"" is a noun that refers to a lack of esteem or respect for someone or something. It conveys a sense of disfavor or low regard. As a verb, ""to disesteem"" means to regard with less respect or to have a low opinion of. This term is not commonly used in everyday language but is understood in the context of expressing a negative perception or judgment.",time
dish,"The word ""dish"" can refer to several things in English:

1. **Noun**: A shallow, typically flat or curved container used for holding food. For example, a dinner plate or a serving platter.
   
2. **Noun**: A particular type of food or meal, especially one that is cooked or prepared in a specific way. For example, spaghetti can be referred to as an Italian dish.

3. **Verb**: To serve or prepare food to be eaten. For example, to dish out servings of soup.

4. **Noun**: In informal contexts, it can refer to a gossip or piece of news, often about someone's private life.

These definitions capture the main uses of the word ""dish"" in everyday language.",water
dislike,"The word ""dislike"" is a verb that means to have a feeling of aversion or reluctance toward something or someone; to not like. It can also be used as a noun to refer to a feeling of disfavor or aversion. In essence, it indicates a negative reaction or sentiment toward something.",logic
disillusionment,"'Disillusionment' is a noun that refers to the feeling of disappointment that arises from the realization that something is not as good, true, or valuable as one believed it to be. It often involves losing faith or trust in someone or something due to a revelation of the reality behind expectations or ideals.",rebirth
dismay,"The word ""dismay"" is a noun and a verb. 

As a noun, it refers to a feeling of shock or distress caused by something unexpected or unfortunate. It denotes a state of being disheartened or discouraged.

As a verb, it means to cause someone to feel shock or distress. It involves bringing about a sense of disappointment or anxiety in someone.

For example:
- Noun: ""Her dismay at the news was evident.""
- Verb: ""The unexpected delay dismayed the travelers.""",echo
disparager,"The word ""disparager"" is a noun that refers to a person who speaks of someone or something in a way that belittles or devalues them. A disparager often criticizes or denigrates others, suggesting that they are inferior or less worthy.",time
disgrace,"The word ""disgrace"" can function as both a noun and a verb.

As a noun, ""disgrace"" refers to the loss of honor, respect, or reputation due to a shameful act or behavior. It can also describe a person or thing that brings shame or dishonor.

As a verb, ""to disgrace"" means to bring shame or loss of reputation upon someone or something, often through wrongful or inappropriate actions.

For example:
- Noun: ""His actions brought great disgrace to his family.""
- Verb: ""She was disgraced by her unethical behavior in the workplace.""",rebirth
disprover,"The word 'disprover' is a noun that refers to a person or thing that disproves or demonstrates that something is false or incorrect. It describes someone or something that provides evidence or arguments to refute a claim, theory, or assertion. For example, a disprover might present counter-evidence to challenge an established belief or hypothesis.",time
dispute,"The word ""dispute"" is a noun and a verb. 

As a noun, it refers to a disagreement or argument between two or more parties regarding a particular issue. 

As a verb, it means to argue about; to express disagreement or to challenge the validity or truth of something.

In both uses, ""dispute"" often involves conflicting opinions or claims.",fate
disproof,"'Disproof' is a noun that refers to the act of proving that a particular statement, theory, or hypothesis is false or incorrect. It involves presenting evidence or arguments that contradict or invalidate a claim. Essentially, disproof serves to refute or undermine the validity of an assertion.",twig
disorder,"The word 'disorder' refers to a state of confusion or a lack of order, organizing, or arrangement. It can denote a physical condition that disrupts normal functioning, such as a medical or psychological issue. In a broader context, it may also refer to a disturbance in the systematic functioning of a system or organization. 

Here are some specific definitions:
1. Noun: A condition marked by a lack of order or regular arrangement; chaos.
2. Noun: A disruption of normal physical or mental functions.
3. Verb: To disturb the systematic order or operation of something.

Usage examples:
- The room was in complete disorder after the party.
- She was diagnosed with an anxiety disorder that required treatment.",disease
dispraise,"The word 'dispraise' is a verb that means to express disapproval or criticism of someone or something. It refers to the act of speaking negatively about someone’s actions, qualities, or behavior. As a noun, 'dispraise' refers to the expression of such disapproval or criticism.",time
dispenser,"A ""dispenser"" is a noun that refers to a device or container designed to release or distribute a substance or item in controlled amounts. This can include items such as medicine, food, liquids, or other materials. Dispensers are commonly used in various settings, including kitchens, laboratories, and public spaces, to provide easy access to products while controlling their usage.",feather
diss,"The word ""diss"" is a verb that means to show disrespect or contempt for someone, often through derogatory remarks or insults. It can also be used as a noun to refer to such an insult or act of disrespect. The term is commonly used in informal contexts, particularly in hip-hop culture and among younger generations.",karma
disregard,"The word ""disregard"" can function as both a verb and a noun.

As a verb, ""disregard"" means to pay no attention to something or to ignore it intentionally. It implies a lack of consideration or concern for something that might normally warrant attention.

As a noun, ""disregard"" refers to the act of ignoring or not considering something; it represents a lack of attention or concern.

For example:
- Verb: ""He chose to disregard the warning signs.""
- Noun: ""Her disregard for the rules resulted in a penalty.""",logic
display,"The word ""display"" can function as both a noun and a verb.

As a noun, ""display"" refers to:
1. The act of showing or presenting something for others to see, often in a visual format.
2. A device or arrangement used for presenting information or images, such as a computer screen or a signage setup.

As a verb, ""display"" means:
1. To show or exhibit something, making it visible or observable.
2. To arrange or present objects in a way that highlights their features or attractiveness.

In both usages, the concept of visual presentation or demonstration is central to the meaning of ""display.""",light
disquiet,"The word ""disquiet"" is a noun and a verb. 

As a noun, it refers to a feeling of anxiety or worry. For example, one might experience disquiet over uncertain circumstances.

As a verb, it means to make someone anxious or worried. For instance, an unsettling news report may disquiet the public.

Overall, the term conveys a sense of unease or disturbance.",echo
dispensary,"A ""dispensary"" is a noun that refers to a place where medicines and medical supplies are dispensed, typically as part of a healthcare facility or clinic. It can also refer to a facility where certain types of drugs or medical treatments are given out, often involving counseling or education about their use. Additionally, in some contexts, it may refer to a facility that provides specific services, such as a marijuana dispensary, where cannabis products are sold for medical or recreational use.",vaccine
disservice,"The word 'disservice' is a noun that refers to a harmful or detrimental action or effect that negatively impacts someone or something. It indicates an act that causes inconvenience, harm, or a disadvantage rather than providing help or benefit. For example, if someone's actions unintentionally create more problems for others, it can be described as doing them a disservice.",rebirth
dissolvent,"The word ""dissolvent"" is an adjective that describes something that has the ability to dissolve another substance. It can also refer to a noun that indicates a substance, often a liquid, that can cause another substance to become incorporated into it, resulting in a solution. In a broader sense, it can also refer to the ability to break down or disintegrate materials.",time
dissent,"The word ""dissent"" refers to the expression or holding of opinions that differ from those commonly or officially held. It can be used as a noun to indicate a disagreement or difference of opinion, particularly in contexts such as politics, law, or social issues. Additionally, it can be used as a verb meaning to disagree with the views or decisions of others. Dissent often implies a challenge to the status quo or the majority opinion.",war
dissyllable,"A ""dissyllable"" is a noun that refers to a word consisting of two syllables. It can also describe a metrical foot in poetry that has two syllables, typically one stressed and one unstressed. For example, the word ""happy"" is a dissyllable because it has two syllables: ""hap"" and ""py.""",time
distiller,"A ""distiller"" is a noun that refers to a person or a facility that produces distilled liquids, typically alcoholic beverages such as whiskey, vodka, or gin, through the process of distillation. Distillation involves heating a liquid to create vapor and then cooling the vapor to create a liquid, thereby separating components based on their different boiling points. The term can also refer to the equipment or apparatus used in the distillation process.",magma
disrespect,"The word 'disrespect' is a verb and a noun. 

As a verb, it means to show a lack of respect or regard for someone or something; to treat someone or something with contempt or to behave toward them in a rude or dismissive manner. 

As a noun, it refers to a lack of respect or esteem; the quality of being disrespectful or showing contempt or disregard for someone or something. 

Overall, 'disrespect' implies an attitude or behavior that undermines the dignity or worth of a person or idea.",karma
distich,"A ""distich"" is a noun that refers to a pair of lines of verse, typically a couplet, especially in the context of poetry. Each line in a distich may consist of a complete thought, and together they often express a single idea or complete sentiment. The term is commonly used in the study of poetry and literature to describe a two-line stanza or a specific form of poetic expression.",time
distaff,"The word ""distaff"" has a couple of meanings:

1. **Noun (in textiles)**: It refers to a staff or rod used in spinning to hold the unspun fibers or wool. It is typically associated with the process of spinning yarn.

2. **Noun (in genealogy)**: It can also refer to the female line of descent, indicating the maternal side of a family.

3. **Adjective**: It can describe something related to women or traditionally associated with women's work or roles.

The term originates from the Middle English ""distaf,"" which combines ""di-"" (from an old word meaning ""to hold"") and ""staff.""",pebble
ditch,"The word ""ditch"" can function as both a noun and a verb.

As a noun, ""ditch"" refers to a long, narrow channel dug in the ground, often used for drainage or irrigation purposes. It can also refer to a similar depression or trench in the ground.

As a verb, ""ditch"" means to abandon or discard something or someone, often in a sudden or careless manner. It can also mean to deeply or abruptly deviate from a course of action.

For example:
- Noun: ""The heavy rains caused the ditch to overflow.""
- Verb: ""He decided to ditch his old car in favor of a new one.""",water
distrust,"The word 'distrust' is a noun and a verb. 

As a noun, it refers to a lack of trust or confidence in someone or something. It represents a feeling of doubt or suspicion regarding the reliability or integrity of a person, situation, or object.

As a verb, it means to have no trust or to regard someone or something with suspicion. It involves questioning the motives or reliability of a person or entity.

Overall, 'distrust' conveys a sense of skepticism or wariness.",logic
disyllable,"A ""disyllable"" is a word that consists of two syllables. For example, the word ""happy"" is a disyllable because it is pronounced with two distinct syllables: ""hap"" and ""py."" Disyllables can vary in stress patterns and can be found in various languages.",time
dispatch,"The word ""dispatch"" can function as both a verb and a noun, and its meanings include:

**As a verb:**
1. To send off to a destination or for a purpose, often with promptness and efficiency. For example, ""The company will dispatch the goods tomorrow.""
2. To deal with (a task or problem) quickly and efficiently. For example, ""She was able to dispatch the issue in no time.""

**As a noun:**
1. The act of sending off something, especially in a formal or official capacity. For example, ""The dispatch of the supplies was completed on time.""
2. An official report or message sent with urgency, often used in military or diplomatic contexts. For example, ""The general sent a dispatch to headquarters.""

Overall, ""dispatch"" emphasizes efficiency, promptness, and communication.",war
ditto,"The word ""ditto"" is used as a noun to indicate that something previously stated or written should be repeated or is the same. It can also serve as an adverb, meaning ""the same as stated before."" Originating from the Italian word ""detto,"" which means ""said,"" it is often used in informal contexts to express agreement or similarity. For example, if someone says, ""I enjoyed the meal,"" another person might respond, ""Ditto,"" indicating that they also enjoyed the meal.",karma
dive,"The word ""dive"" can function as both a verb and a noun, with several meanings:

**As a verb:**
1. To plunge headfirst into water.
2. To descend rapidly or steeply, often used in the context of a bird or an aircraft.
3. To engage in scuba diving or free diving for recreation or exploration underwater.
4. To drop or fall quickly.

**As a noun:**
1. An act of diving, such as jumping into water or taking a plunge.
2. A location or establishment, often informal or low-quality, such as a bar or nightclub (e.g., a ""dive bar"").
3. In sports, particularly gymnastics or diving competitions, it refers to a specific maneuver performed while diving.

Overall, the context in which ""dive"" is used will determine its specific meaning.",rope
divorcement,"The term ""divorcement"" refers to the legal process of ending a marriage, or divorce. It is the noun form of the verb ""divorce"" and describes the formal dissolution of marital ties, often involving legal proceedings related to the division of property, custody arrangements, and other associated matters. Though less commonly used than ""divorce,"" ""divorcement"" emphasizes the act or state of being divorced.",entropy
divvy,"The word ""divvy"" is a verb that means to divide or distribute something among a group. It can also be used as a noun, referring to a share or portion of something that has been divided. The term is often used informally. For example, one might say, ""Let's divvy up the pizza"" or ""He got a divvy of the profits.""",rope
